,title,link
87,Everyone around you has a story the world needs to hear,https://www.ted.com/talks/dave_isay_everyone_around_you_has_a_story_the_world_needs_to_hear?language=en
88,A tale of two Americas. And the mini-mart where they collided,https://www.ted.com/talks/anand_giridharadas_a_tale_of_two_americas_and_the_mini_mart_where_they_collided?language=en
89,The price of shame,https://www.ted.com/talks/monica_lewinsky_the_price_of_shame?language=en
90,Can we create new senses for humans?,https://www.ted.com/talks/david_eagleman_can_we_create_new_senses_for_humans?language=en
91,Why the buildings of the future will be shaped by ... you,https://www.ted.com/talks/marc_kushner_why_the_buildings_of_the_future_will_be_shaped_by_you?language=en
92,How I work to protect women from honor killings,https://www.ted.com/talks/khalida_brohi_how_i_work_to_protect_women_from_honor_killings?language=en
93,How to run a company with (almost) no rules,https://www.ted.com/talks/ricardo_semler_how_to_run_a_company_with_almost_no_rules?language=en
94,Brain-to-brain communication has arrived. How we did it,https://www.ted.com/talks/miguel_nicolelis_brain_to_brain_communication_has_arrived_how_we_did_it?language=en
95,Hidden music rituals around the world,https://www.ted.com/talks/vincent_moon_and_nana_vasconcelos_hidden_music_rituals_around_the_world?language=en
96,Why privacy matters,https://www.ted.com/talks/glenn_greenwald_why_privacy_matters?language=en
97,New thoughts on capital in the twenty-first century,https://www.ted.com/talks/thomas_piketty_new_thoughts_on_capital_in_the_twenty_first_century?language=en
98,What makes us get sick? Look upstream,https://www.ted.com/talks/rishi_manchanda_what_makes_us_get_sick_look_upstream?language=en
99,How not to be ignorant about the world,https://www.ted.com/talks/hans_and_ola_rosling_how_not_to_be_ignorant_about_the_world?language=en
100,"Depressed dogs, cats with OCD — what animal madness means for us humans",https://www.ted.com/talks/laurel_braitman_depressed_dogs_cats_with_ocd_what_animal_madness_means_for_us_humans?language=en
101,"Beware, fellow plutocrats, the pitchforks are coming",https://www.ted.com/talks/nick_hanauer_beware_fellow_plutocrats_the_pitchforks_are_coming?language=en
102,The dark secrets of a surveillance state,https://www.ted.com/talks/hubertus_knabe_the_dark_secrets_of_a_surveillance_state?language=en
103,How do you explain consciousness?,https://www.ted.com/talks/david_chalmers_how_do_you_explain_consciousness?language=en
104,A 30-year history of the future,https://www.ted.com/talks/nicholas_negroponte_a_30_year_history_of_the_future?language=en
105,Why we should trust scientists,https://www.ted.com/talks/naomi_oreskes_why_we_should_trust_scientists?language=en
106,How I started writing songs again,https://www.ted.com/talks/sting_how_i_started_writing_songs_again?language=en
107,How the worst moments in our lives make us who we are,https://www.ted.com/talks/andrew_solomon_how_the_worst_moments_in_our_lives_make_us_who_we_are?language=en
108,What does the future hold? 11 characters offer quirky answers,https://www.ted.com/talks/sarah_jones_what_does_the_future_hold_11_characters_offer_quirky_answers?language=en
109,"For parents, happiness is a very high bar",https://www.ted.com/talks/jennifer_senior_for_parents_happiness_is_a_very_high_bar?language=en
110,Be passionate. Be courageous. Be your best.,https://www.ted.com/talks/gabby_giffords_and_mark_kelly_be_passionate_be_courageous_be_your_best?language=en
111,How public spaces make cities work,https://www.ted.com/talks/amanda_burden_how_public_spaces_make_cities_work?language=en
112,Why giving away our wealth has been the most satisfying thing we've done,https://www.ted.com/talks/bill_and_melinda_gates_why_giving_away_our_wealth_has_been_the_most_satisfying_thing_we_ve_done?language=en
113,"The new bionics that let us run, climb and dance",https://www.ted.com/talks/hugh_herr_the_new_bionics_that_let_us_run_climb_and_dance?language=en
114,"To create for the ages, let's combine art and engineering",https://www.ted.com/talks/bran_ferren_to_create_for_the_ages_let_s_combine_art_and_engineering?language=en
115,Where's Google going next?,https://www.ted.com/talks/larry_page_where_s_google_going_next?language=en
116,The NSA responds to Edward Snowden's TED Talk,https://www.ted.com/talks/richard_ledgett_the_nsa_responds_to_edward_snowden_s_ted_talk?language=en
117,What I learned from going blind in space,https://www.ted.com/talks/chris_hadfield_what_i_learned_from_going_blind_in_space?language=en
118,Here's how we take back the Internet,https://www.ted.com/talks/edward_snowden_here_s_how_we_take_back_the_internet?language=en
119,Paper beats plastic? How to rethink environmental folklore,https://www.ted.com/talks/leyla_acaroglu_paper_beats_plastic_how_to_rethink_environmental_folklore?language=en
120,How societies can grow old better,https://www.ted.com/talks/jared_diamond_how_societies_can_grow_old_better?language=en
121,Why our IQ levels are higher than our grandparents',https://www.ted.com/talks/james_flynn_why_our_iq_levels_are_higher_than_our_grandparents?language=en
122,The pursuit of ignorance,https://www.ted.com/talks/stuart_firestein_the_pursuit_of_ignorance?language=en
123,Why mayors should rule the world,https://www.ted.com/talks/benjamin_barber_why_mayors_should_rule_the_world?language=en
124,Why do we sleep?,https://www.ted.com/talks/russell_foster_why_do_we_sleep?language=en
125,"Spider-Man, The Lion King and life on the creative edge",https://www.ted.com/talks/julie_taymor_spider_man_the_lion_king_and_life_on_the_creative_edge?language=en
