,title,link
80,"To challenge the status quo, find a ""co-conspirator""",https://www.ted.com/talks/ipsita_dasgupta_to_challenge_the_status_quo_find_a_co_conspirator?language=en
81,The beautiful balance between courage and fear,https://www.ted.com/talks/cara_e_yar_khan_the_beautiful_balance_between_courage_and_fear?language=en
82,How the gut microbes you're born with affect your lifelong health,https://www.ted.com/talks/henna_maria_uusitupa_how_the_gut_microbes_you_re_born_with_affect_your_lifelong_health?language=en
83,"To help solve global problems, look to developing countries",https://www.ted.com/talks/bright_simons_to_help_solve_global_problems_look_to_developing_countries?language=en
84,The unforeseen consequences of a fast-paced world,https://www.ted.com/talks/kathryn_bouskill_the_unforeseen_consequences_of_a_fast_paced_world?language=en
85,The profound power of an authentic apology,https://www.ted.com/talks/eve_ensler_the_profound_power_of_an_authentic_apology?language=en
86,How I'm using biological data to tell better stories — and spark social change,https://www.ted.com/talks/heidi_boisvert_how_i_m_using_biological_data_to_tell_better_stories_and_spark_social_change?language=en
87,Is marijuana bad for your brain?,https://www.ted.com/talks/anees_bahji_is_marijuana_bad_for_your_brain?language=en
88,How I use art to tackle plastic pollution in our oceans,https://www.ted.com/talks/alejandro_duran_how_i_use_art_to_tackle_plastic_pollution_in_our_oceans?language=en
89,Why I draw with robots,https://www.ted.com/talks/sougwen_chung_why_i_draw_with_robots?language=en
90,How to save a language from extinction,https://www.ted.com/talks/daniel_bogre_udell_how_to_save_a_language_from_extinction?language=en
91,"A creative solution for the water crisis in Flint, Michigan",https://www.ted.com/talks/latoya_ruby_frazier_a_creative_solution_for_the_water_crisis_in_flint_michigan?language=en
92,5 steps for clean air in India,https://www.ted.com/talks/arunabha_ghosh_5_steps_for_clean_air_in_india?language=en
93,Why gender-based marketing is bad for business,https://www.ted.com/talks/gaby_barrios_why_gender_based_marketing_is_bad_for_business?language=en
94,How can we support the emotional well-being of teachers?,https://www.ted.com/talks/sydney_jensen_how_can_we_support_the_emotional_well_being_of_teachers?language=en
95,What it's like to live on the International Space Station,https://www.ted.com/talks/cady_coleman_what_it_s_like_to_live_on_the_international_space_station?language=en
96,Small rockets are the next space revolution,https://www.ted.com/talks/peter_beck_small_rockets_are_the_next_space_revolution?language=en
97,How India's local recyclers could solve plastic pollution,https://www.ted.com/talks/mani_vajipey_how_india_s_local_recyclers_could_solve_plastic_pollution?language=en
98,A historical musical that examines black identity in the 1901 World's Fair,https://www.ted.com/talks/amma_y_ghartey_tagoe_kootin_a_historical_musical_that_examines_black_identity_in_the_1901_world_s_fair?language=en
99,What open water swimming taught me about resilience,https://www.ted.com/talks/bhakti_sharma_what_open_water_swimming_taught_me_about_resilience?language=en
100,What productive conflict can offer a workplace,https://www.ted.com/talks/jess_kutch_what_productive_conflict_can_offer_a_workplace?language=en
101,The danger of AI is weirder than you think,https://www.ted.com/talks/janelle_shane_the_danger_of_ai_is_weirder_than_you_think?language=en
102,Fashion that celebrates all body types — boldly and unapologetically,https://www.ted.com/talks/becca_mccharen_tran_fashion_that_celebrates_all_body_types_boldly_and_unapologetically?language=en
103,How nanoparticles could change the way we treat cancer,https://www.ted.com/talks/joy_wolfram_how_nanoparticles_could_change_the_way_we_treat_cancer?language=en
104,A love story for the coral reef crisis,https://www.ted.com/talks/ayana_elizabeth_johnson_a_love_story_for_the_coral_reef_crisis?language=en
105,How a handful of fishing villages sparked a marine conservation revolution,https://www.ted.com/talks/alasdair_harris_how_a_handful_of_fishing_villages_sparked_a_marine_conservation_revolution?language=en
106,Why our future relies on the genetic diversity of food,https://www.ted.com/talks/esther_meduna_why_our_future_relies_on_the_genetic_diversity_of_food?language=en
107,What Bruce Lee can teach us about living fully,https://www.ted.com/talks/shannon_lee_what_bruce_lee_can_teach_us_about_living_fully?language=en
108,A personal plea for humanity at the US-Mexico border,https://www.ted.com/talks/juan_enriquez_a_personal_plea_for_humanity_at_the_us_mexico_border?language=en
109,This ancient rock is changing our theory on the origin of life,https://www.ted.com/talks/tara_djokic_this_ancient_rock_is_changing_our_theory_on_the_origin_of_life?language=en
110,Reducing corruption takes a specific kind of investment,https://www.ted.com/talks/efosa_ojomo_reducing_corruption_takes_a_specific_kind_of_investment?language=en
111,Why you should shop at your local farmers market,https://www.ted.com/talks/mohammad_modarres_why_you_should_shop_at_your_local_farmers_market?language=en
112,"The Prison Break | Think Like A Coder, Ep 1",https://www.ted.com/talks/alex_rosenthal_the_prison_break_think_like_a_coder_ep_1?language=en
